# logged on Tue Nov 21 16:16:34 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1700579794.361517000  1000.79 0 49.9979  -  nan  -0.0669772 0.0590853 0.00890172  -0.0669772 0.0590853 0.00890172  -0.0369893 -5.16086e-05 9.83077  -0.0369893 -5.16086e-05 9.83077  - - -  - - -  79.0417 78.794 81.3115 78.3135 - - - - 79.1014 78.5793 82.1018 79.1014 - - - - 138 146 133 71 0 0 0 0
1700579794.366529000  1000.79 0 49.9979  -  nan  0.0611523 0.0178956 -0.015717  0.0611523 0.0178956 -0.015717  0.0616827 0.0452963 9.94202  0.0616827 0.0452963 9.94202  - - -  - - -  79.1459 79.1066 81.0954 78.1263 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.371473000  1000.79 0 49.9979  -  nan  -0.0666855 0.0312343 -0.00410722  -0.0666855 0.0312343 -0.00410722  0.107194 -0.140145 9.78675  0.107194 -0.140145 9.78675  - - -  - - -  79.0416 78.5509 81.4459 78.5365 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.376469000  1000.79 0 49.9979  -  nan  0.00365819 0.0316088 -0.00312985  0.00365819 0.0316088 -0.00312985  0.0169102 0.0930206 9.47859  0.0169102 0.0930206 9.47859  - - -  - - -  79.1029 79.1853 81.1605 78.0556 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.381540000  1000.79 0 49.9965  -  nan  0.0613128 -0.0107582 -0.0149421  0.0613128 -0.0107582 -0.0149421  0.108005 -0.0936073 9.84035  0.108005 -0.0936073 9.84035  - - -  - - -  79.1644 78.9842 81.2168 78.2792 - - - - 79.8977 78.8395 - 79.3651 - - - - 138 146 133 71 0 0 0 0
1700579794.386544000  1000.79 0 49.9958  -  nan  -0.052831 0.0453274 0.00947128  -0.052831 0.0453274 0.00947128  0.00933178 -0.0938429 9.89651  0.00933178 -0.0938429 9.89651  - - -  - - -  79.073 78.7287 81.4437 78.423 - - - - - - 82.1018 - - - - - 138 146 133 71 0 0 0 0
1700579794.391484000  1000.79 0 49.9958  -  nan  0.118662 0.00318108 -0.0292601  0.118662 0.00318108 -0.0292601  0.0137388 0.0460113 9.76908  0.0137388 0.0460113 9.76908  - - -  - - -  79.2074 79.1238 81.2192 78.1721 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.396522000  1000.79 0 49.9958  -  nan  0.0188923 0.00303525 -0.00214551  0.0188923 0.00303525 -0.00214551  0.108383 -0.139435 9.61516  0.108383 -0.139435 9.61516  - - -  - - -  79.0527 78.1279 81.8177 78.8606 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.401498000  1000.79 0 49.9964  -  nan  0.00352141 0.0317941 0.0106273  0.00352141 0.0317941 0.0106273  -0.0330161 0.0474371 9.42455  -0.0330161 0.0474371 9.42455  - - -  - - -  79.0141 78.4636 81.8508 78.7009 - - - - 79.6305 79.1014 80.9848 77.5555 - - - - 138 146 133 71 0 0 0 0
1700579794.406463000  1000.78 0 49.9964  -  nan  0.104601 -0.024361 -0.0139676  0.104601 -0.024361 -0.0139676  0.107611 -0.0938429 9.89721  0.107611 -0.0938429 9.89721  - - -  - - -  79.1703 78.3888 81.9401 78.8784 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.411511000  1000.77 0 49.9964  -  nan  -0.0246161 0.0316443 0.0102363  -0.0246161 0.0316443 0.0102363  0.00730119 -0.187163 9.84817  0.00730119 -0.187163 9.84817  - - -  - - -  78.9085 78.1497 82.2838 79.0902 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.416487000  1000.75 0 49.9964  -  nan  0.118515 0.00337959 -0.0145204  0.118515 0.00337959 -0.0145204  0.0145255 0.0915948 9.82277  0.0145255 0.0915948 9.82277  - - -  - - -  78.9376 78.8605 82.1734 78.6224 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.421650000  1000.74 0 49.9949  -  nan  0.0471847 -0.0244807 -0.00100639  0.0471847 -0.0244807 -0.00100639  0.10558 -0.187163 9.84887  0.10558 -0.187163 9.84887  - - -  - - -  78.6692 78.2734 82.498 79.2741 - - - - 79.3651 78.064 81.5395 78.3208 - - - - 138 146 133 71 0 0 0 0
1700579794.426489000  1000.73 0 49.9949  -  nan  0.0185951 0.0318743 0.0108367  0.0185951 0.0318743 0.0108367  -0.0365884 0.000188099 9.77291  -0.0365884 0.000188099 9.77291  - - -  - - -  78.4327 78.518 82.6367 79.2569 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.431560000  1000.73 0 49.9949  -  nan  0.146671 -0.0239511 0.00037589  0.146671 -0.0239511 0.00037589  0.108028 -0.0475403 10.0077  0.108028 -0.0475403 10.0077  - - -  - - -  78.4854 79.0804 82.4846 78.9919 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.436493000  1000.73 0 49.9949  -  nan  0.0034621 0.0181465 0.0247585  0.0034621 0.0181465 0.0247585  0.0564642 -0.141096 10.0158  0.0564642 -0.141096 10.0158  - - -  - - -  78.1296 78.4574 82.7976 79.7256 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
