# logged on Tue Jan  2 11:27:32 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704191252.459995000  1000.61 0 100.026  -  nan  -0.0248481 0.00167665 -0.0316527  -0.0248481 0.00167665 -0.0316527  0.471389 -0.047746 9.79693  0.471389 -0.047746 9.79693  - - -  - - -  76.7645 66.6132 74.8498 67.9895 - - - - 77.0535 - 74.638 - - - - - 139 145 134 71 0 0 0 0
1704191252.465007000  1000.6 0 100.028  -  nan  -0.0832384 0.0924203 0.0708887  -0.0832384 0.0924203 0.0708887  -0.479952 0.162497 8.51731  -0.479952 0.162497 8.51731  - - -  - - -  77.3033 67.6029 74.1512 67.666 - - - - - 68.4182 - 68.8137 - - - - 139 145 134 71 0 0 0 0
1704191252.470026000  1000.6 0 100.026  -  nan  0.0332112 -0.1136 -0.0371954  0.0332112 -0.1136 -0.0371954  -0.180123 -0.207258 10.7756  -0.180123 -0.207258 10.7756  - - -  - - -  76.8366 68.6044 74.0488 68.0891 - - - - 77.5555 - 74.4048 - - - - - 139 145 134 71 0 0 0 0
1704191252.475000000  1000.61 0 100.026  -  nan  -0.0536244 -0.0129165 -0.0467039  -0.0536244 -0.0129165 -0.0467039  0.248484 0.149691 9.72099  0.248484 0.149691 9.72099  - - -  - - -  76.551 66.6464 75.2123 68.1446 - - - - - 68.8137 - 68.6153 - - - - 139 145 134 71 0 0 0 0
1704191252.480005000  1000.6 0 100.026  -  nan  -0.112443 0.06473 0.0834665  -0.112443 0.06473 0.0834665  -0.302431 0.149691 9.71696  -0.302431 0.149691 9.71696  - - -  - - -  76.9146 67.8663 74.7388 67.5511 - - - - 77.3036 - 75.3466 69.0131 - - - - 139 145 134 71 0 0 0 0
1704191252.485017000  1000.61 0 100.025  -  nan  0.062461 -0.055991 -0.0372315  0.062461 -0.055991 -0.0372315  -0.0895833 -0.301203 10.2719  -0.0895833 -0.301203 10.2719  - - -  - - -  76.4585 68.5964 74.3907 67.8142 - - - - - 68.2221 - - - - - - 139 145 134 71 0 0 0 0
1704191252.490024000  1000.61 0 100.024  -  nan  -0.0827027 0.00251985 -0.021075  -0.0827027 0.00251985 -0.021075  0.0260796 0.395429 9.86783  0.0260796 0.395429 9.86783  - - -  - - -  76.6515 66.7809 75.3155 68.1775 - - - - 77.3036 - 75.8265 - - - - - 139 145 134 71 0 0 0 0
1704191252.495010000  1000.62 0 100.024  -  nan  -0.156632 0.0791131 0.079932  -0.156632 0.0791131 0.079932  -0.123825 -0.0459211 9.62181  -0.123825 -0.0459211 9.62181  - - -  - - -  76.6785 68.1846 74.6925 67.3704 - - - - - 67.2585 - 68.6153 - - - - 139 145 134 71 0 0 0 0
1704191252.500000000  1000.62 0 100.023  -  nan  0.0193026 -0.0416125 -0.0406953  0.0193026 -0.0416125 -0.0406953  -0.21808 -0.0968566 9.73978  -0.21808 -0.0968566 9.73978  - - -  - - -  76.5702 69.0139 74.2006 67.764 - - - - 77.0535 - 75.8265 - - - - - 139 145 134 71 0 0 0 0
1704191252.505013000  1000.62 0 100.022  -  nan  -0.0971224 0.00258539 -0.0220646  -0.0971224 0.00258539 -0.0220646  0.113636 0.340023 10.5003  0.113636 0.340023 10.5003  - - -  - - -  76.6863 67.3442 75.5237 67.8874 - - - - - 66.3218 - 68.8137 - - - - 139 145 134 71 0 0 0 0
1704191252.510012000  1000.62 0 100.021  -  nan  -0.141481 0.13469 0.0518077  -0.141481 0.13469 0.0518077  0.0133393 -0.138636 9.00331  0.0133393 -0.138636 9.00331  - - -  - - -  76.8436 68.3797 74.7203 67.1452 - - - - 76.8049 - 75.1089 - - - - - 139 145 134 71 0 0 0 0
1704191252.515012000  1000.62 0 100.02  -  nan  0.034151 -0.0285809 -0.0673346  0.034151 -0.0285809 -0.0673346  -0.352741 0.0478201 9.9539  -0.352741 0.0478201 9.9539  - - -  - - -  77.0531 68.9803 74.3182 67.7145 - - - - - 68.2221 - 68.0272 - - - - 139 145 134 71 0 0 0 0
1704191252.520092000  1000.62 0 100.02  -  nan  -0.082419 0.0171336 -0.0361414  -0.082419 0.0171336 -0.0361414  0.245545 0.235711 10.967  0.245545 0.235711 10.967  - - -  - - -  77.0966 67.1073 75.6583 67.5361 - - - - 76.8049 - 76.0688 - - - - - 139 145 134 71 0 0 0 0
